ID,descr,bridgeId,bridgeName*,assetClass,route,routeNumber,state*,region,lga,latitude*,longitude*,location,assetOwner*,managingAuthority,structureType,yearBuilt,designLoad,designStandard,clearanceHeight,spanLength,material,spanCount,totalLength,deckWidth,numberOfLanes,condition,conditionRating,structuralAdequacyRating,postingStatus,conditionStandard,seismicZone,asBuiltDrawingReference,floodImmunityAriYears,floodImpacted,highPriorityAsset,remarks,status,lastInspectionDate,nhvrAssessed,nhvrAssessmentDate,loadRating,pbsApprovalClass,importanceLevel,averageDailyTraffic,heavyVehiclePercent,gazetteReference,nhvrReferenceUrl,freightRoute,overMassRoute,hmlApproved,bDoubleApproved,dataSource,sourceReferenceUrl,openDataReference,sourceRecordId,restriction_ID,geoJson
,,OSM-3095436,Foreshore Road,Road Bridge,,,NSW,Sydney Metropolitan,,-33.945758,151.188714,,Local Council (inferred),,Beam Bridge,,,,,,,,45,,3,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/3095436,OSM:way/3095436,3095436,,"{""type"":""LineString"",""coordinates"":[[151.1886334,-33.9455674],[151.1887939,-33.9459492]]}"
,,OSM-3188015,Pier Street,Road Bridge,,,NSW,Sydney Metropolitan,,-33.877681,151.201323,,Local Council (inferred),,Beam Bridge,,,,,,,,121,,1,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/3188015,OSM:way/3188015,3188015,,"{""type"":""LineString"",""coordinates"":[[151.2019629,-33.8773664],[151.2017516,-33.8775501],[151.2016182,-33.8776139],[151.2014215,-33.8776912],[151.2013332,-33.8777179],[151.2012338,-33.8777427],[151.2011436,-33.87776],[151.2010433,-33.8777756],[151.200915,-33.8777918],[151.2008095,-33.8778031]]}"
,,OSM-3501868,Princes Street,Road Bridge,,,NSW,Mid North Coast,,-31.899502,152.532967,,Local Council (inferred),,Beam Bridge,,,,,,,,60,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/3501868,OSM:way/3501868,3501868,,"{""type"":""LineString"",""coordinates"":[[152.5331475,-31.8997227],[152.532787,-31.8992808]]}"
,,A1,Pacific Highway,Road Bridge,,A1,NSW,Mid North Coast,,-31.802557,152.641604,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,93,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/3502498,OSM:way/3502498,3502498,,"{""type"":""LineString"",""coordinates"":[[152.6417632,-31.8021611],[152.6416046,-31.8025578],[152.6414452,-31.8029526]]}"
,,A4,Western Distributor,Road Bridge,,A4,NSW,Sydney Metropolitan,,-33.874524,151.19567,,Transport for NSW (inferred),,Viaduct,2013,,,,,,,239,,3,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/3508815,OSM:way/3508815,3508815,,"{""type"":""LineString"",""coordinates"":[[151.1946848,-33.87344],[151.1951056,-33.8741164],[151.1953347,-33.8743808],[151.1954003,-33.8744385],[151.1955167,-33.8745454],[151.1956379,-33.8746382],[151.1958135,-33.8747411],[151.1960367,-33.8748218],[151.1961554,-33.8748589],[151.1962781,-33.8748832],[151.1964105,-33.8749012]]}"
,,OSM-3509103,Loch Street,Road Bridge,,,NSW,Sydney Metropolitan,,-33.91268,151.097614,,Local Council (inferred),,Beam Bridge,,,,,,,,40,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/3509103,OSM:way/3509103,3509103,,"{""type"":""LineString"",""coordinates"":[[151.0977089,-33.9128425],[151.0975182,-33.9125177]]}"
,,OSM-3726782,Lawson Street,Road Bridge,,,NSW,Sydney Metropolitan,,-33.891579,151.199058,,Local Council (inferred),,Beam Bridge,,,,,,,,86,,2,,,,Restricted,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt. No engineering/inspection data from open source. HV: load limit 3t (posted, open data; NHVR gazettal/route approval NOT verified).",Active,,,,3,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/3726782,OSM:way/3726782,3726782,,"{""type"":""LineString"",""coordinates"":[[151.1985996,-33.8915096],[151.19885,-33.8915463],[151.1992645,-33.891607],[151.1995167,-33.8916516]]}"
,,A4,Western Distributor,Road Bridge,,A4,NSW,Sydney Metropolitan,,-33.871244,151.192095,,Transport for NSW (inferred),,Viaduct,2013,,,,,,,247,,3,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/3919480,OSM:way/3919480,3919480,,"{""type"":""LineString"",""coordinates"":[[151.1931139,-33.87176],[151.1929232,-33.8715772],[151.1927981,-33.8714752],[151.1927018,-33.8714142],[151.1924572,-33.8712819],[151.1922282,-33.8711828],[151.1920343,-33.8711209],[151.1918279,-33.8710697],[151.191235,-33.8709927],[151.1909839,-33.8709413],[151.1907391,-33.870869]]}"
,,A4,Western Distributor,Road Bridge,,A4,NSW,Sydney Metropolitan,,-33.870463,151.190033,,Transport for NSW (inferred),,Viaduct,2013,,,,,,,118,,4,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/3997051,OSM:way/3997051,3997051,,"{""type"":""LineString"",""coordinates"":[[151.1895359,-33.8702458],[151.1897517,-33.8703439],[151.1901763,-33.8705261],[151.1906664,-33.8707364]]}"
,,OSM-3999079,Blaxland Road,Road Bridge,,,NSW,Regional NSW,,-33.708019,150.375914,,Local Council (inferred),,Beam Bridge,,,,,,,,28,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/3999079,OSM:way/3999079,3999079,,"{""type"":""LineString"",""coordinates"":[[150.3758414,-33.7081313],[150.375986,-33.7079077]]}"
