ID,parent_ID,restrictionRef*,bridgeRef,bridge_ID,name,descr,restrictionCategory*,restrictionType*,restrictionValue,restrictionUnit,restrictionStatus*,appliesToVehicleClass,grossMassLimit,axleMassLimit,heightLimit,widthLimit,lengthLimit,speedLimit,permitRequired,escortRequired,temporary,active,effectiveFrom,effectiveTo,approvedBy,direction,enforcementAuthority,temporaryFrom,temporaryTo,temporaryReason,approvalReference,issuingAuthority,legalReference,remarks,gazetteNumber,gazettePublicationDate,gazetteExpiryDate,reviewDueDate,approvalDate,restrictionReason,detourRoute,conditionTrigger,pbsClassApplicable,grossCombinationLimit,tandemAxleLimit,triAxleLimit,steerAxleLimit,pilotVehicleCount,signageRequired,restrictionSeverity,laneAvailability,lanesOpen,lanesTotal,laneWidthLimit
,,HVR-3726782,OSM-3726782,,Load limit - Lawson Street,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-4633126,A3,,Height limit - Concord Road,,Permanent,Height Limit,5.2,m,Active,,,,5.2,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-5366496,OSM-5366496,,Load limit - Jane Street,,Permanent,Load Limit,3,t,Active,,3,,2.4,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-5545376,A1,,Height limit - Princes Highway,,Permanent,Height Limit,4.5,m,Active,,,,4.5,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-5750914,A1,,Load limit - Princes Highway,,Permanent,Axle Group Limit,21,t,Active,,,21,,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-7921183,OSM-7921183,,Load limit - Cattai Ridge Road,,Permanent,Load Limit,8,t,Active,,8,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-8027290,15,,Height limit - Cooper Street,,Permanent,Height Limit,5.2,m,Active,,,,5.2,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-8038996,M5,,Height limit - M5 Motorway,,Permanent,Height Limit,4.4,m,Active,,,,4.4,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-8070616,OSM-8070616,,Load limit - Wollombi Road,,Permanent,Load Limit,15,t,Active,,15,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-8102922,OSM-8102922,,Load limit - Hawksview Street,,Permanent,Load Limit,5,t,Active,,5,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
