ID,bridge_ID,elementCode,elementType,conditionRating,totalQuantity,quantityUnit,conditionState1Qty
el-1001-dk,1001,DK,Deck,9,100,m2,90
el-1001-sup,1001,SUP,Superstructure,8,100,m2,80
el-1001-sub,1001,SUB,Substructure,7,100,m2,70
el-1001-brg,1001,BRG,Bearings,7,100,m2,70
el-1001-drn,1001,DRN,Drainage,9,100,m2,90
el-1002-dk,1002,DK,Deck,7,100,m2,70
el-1002-sup,1002,SUP,Superstructure,6,100,m2,60
el-1002-sub,1002,SUB,Substructure,5,100,m2,50
el-1002-brg,1002,BRG,Bearings,5,100,m2,50
el-1002-drn,1002,DRN,Drainage,7,100,m2,70
el-1003-dk,1003,DK,Deck,10,100,m2,100
el-1003-sup,1003,SUP,Superstructure,9,100,m2,90
el-1003-sub,1003,SUB,Substructure,8,100,m2,80
el-1003-brg,1003,BRG,Bearings,8,100,m2,80
el-1003-drn,1003,DRN,Drainage,10,100,m2,100
el-1004-dk,1004,DK,Deck,5,100,m2,50
el-1004-sup,1004,SUP,Superstructure,4,100,m2,40
el-1004-sub,1004,SUB,Substructure,3,100,m2,30
el-1004-brg,1004,BRG,Bearings,3,100,m2,30
el-1004-drn,1004,DRN,Drainage,5,100,m2,50
el-1005-dk,1005,DK,Deck,9,100,m2,90
el-1005-sup,1005,SUP,Superstructure,8,100,m2,80
el-1005-sub,1005,SUB,Substructure,7,100,m2,70
el-1006-dk,1006,DK,Deck,6,100,m2,60
el-1006-sup,1006,SUP,Superstructure,5,100,m2,50
el-1006-sub,1006,SUB,Substructure,4,100,m2,40
el-1006-brg,1006,BRG,Bearings,4,100,m2,40
el-1006-drn,1006,DRN,Drainage,6,100,m2,60
el-1007-dk,1007,DK,Deck,4,100,m2,40
el-1007-sup,1007,SUP,Superstructure,3,100,m2,30
el-1007-sub,1007,SUB,Substructure,2,100,m2,20
el-1007-brg,1007,BRG,Bearings,2,100,m2,20
el-1007-drn,1007,DRN,Drainage,4,100,m2,40
el-1008-dk,1008,DK,Deck,8,100,m2,80
el-1008-sup,1008,SUP,Superstructure,7,100,m2,70
el-1008-sub,1008,SUB,Substructure,6,100,m2,60
el-1008-brg,1008,BRG,Bearings,6,100,m2,60
el-1008-drn,1008,DRN,Drainage,8,100,m2,80
el-1009-dk,1009,DK,Deck,6,100,m2,60
el-1009-sup,1009,SUP,Superstructure,5,100,m2,50
el-1009-sub,1009,SUB,Substructure,4,100,m2,40
el-1009-brg,1009,BRG,Bearings,4,100,m2,40
el-1009-drn,1009,DRN,Drainage,6,100,m2,60
el-1010-dk,1010,DK,Deck,7,100,m2,70
el-1010-sup,1010,SUP,Superstructure,6,100,m2,60
el-1010-sub,1010,SUB,Substructure,5,100,m2,50
el-1010-brg,1010,BRG,Bearings,5,100,m2,50
el-1010-drn,1010,DRN,Drainage,7,100,m2,70
el-1011-dk,1011,DK,Deck,5,100,m2,50
el-1011-sup,1011,SUP,Superstructure,4,100,m2,40
el-1011-sub,1011,SUB,Substructure,3,100,m2,30
el-1011-brg,1011,BRG,Bearings,3,100,m2,30
el-1011-drn,1011,DRN,Drainage,5,100,m2,50
el-1012-dk,1012,DK,Deck,3,100,m2,30
el-1012-sup,1012,SUP,Superstructure,2,100,m2,20
el-1012-sub,1012,SUB,Substructure,1,100,m2,10
el-1012-brg,1012,BRG,Bearings,1,100,m2,10
el-1012-drn,1012,DRN,Drainage,3,100,m2,30
